dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
31060520,1120,5723,2707,1383,480
31060530,1055,6016,2861,4102,1222
31060540,1720,8545,4006,3162,906
31060550,2376,8827,3650,1853,525
31060560,2189,6703,2482,4791,962
31060570,2684,10377,4316,3416,721
31060580,2801,8215,2145,1775,299
31060590,1657,9085,3061,2115,542
31060600,7564,20270,5662,13879,1848
31060610,2472,8788,2541,899,303
31060620,5946,16169,4702,5610,956
31060630,2429,9270,2869,2096,407
31060640,3838,12686,4752,4777,1156
31060650,2812,8368,1867,1232,238
31060660,7652,19133,5640,21310,2084
31060680,173,1168,944,7678,1517
31060690,9300,29848,7901,11214,2103
31070110,3322,15210,8949,10330,1843
31070120,10408,26949,6389,12860,2836
31070130,4240,15538,4326,28471,2570
31070140,7127,14853,3651,20088,1963
31070310,1412,6839,3213,21935,1197
31070320,341,1933,1413,11133,1168
31070330,2801,9144,2893,9429,790
31070340,871,3663,2299,4021,541
31070370,494,2629,2413,1406,384
31070510,8664,28180,7268,10531,2398
31070520,4119,16518,5893,7801,1982
31070530,3806,11305,2531,17489,1110
31070550,1751,8122,2069,2441,618
31070560,4034,13550,4491,4335,1273
