행정구역코드,아파트비율_퍼센트
31200540,82.91
31200550,89.13
31200560,64.73
31200570,96.13
31200580,90.94
31210110,38.02
31210120,65.52
31210310,18.22
31210320,22.37
31210330,13.63
31210340,53.62
31210350,50.2
31210360,0.0
31210370,4.54
31210380,0.0
31210510,34.57
31210520,47.27
31210530,37.7
31210540,87.38
31220110,85.09
31220310,9.81
31220320,52.41
31220330,0.0
31220340,31.51
31220350,56.93
31220360,0.0
31220380,44.4
31220390,16.87
31220400,17.01
31220410,0.0
31220420,0.0
31220510,46.88
31220520,84.79
31220530,79.62
31230110,65.47
31230120,88.95
31230130,76.02
31230340,0.0
31230350,0.0
31230360,2.66
31230530,68.14
31230540,95.24
31230560,90.05
31230600,85.73
31230610,92.13
31230620,96.4
31230630,99.4
31230640,93.73
31240120,89.4
31240130,23.46
31240140,83.55
31240150,79.99
31240310,28.35
31240330,55.13
31240350,4.22
31240360,13.22
31240370,0.0
31240380,17.3
31240390,13.1
31240420,2.11
31240430,27.79
31240520,79.88
31240530,91.29
31240540,98.75
31240550,98.46
31240560,88.53
31240570,75.49
31240600,86.6
31240610,93.08
31240620,96.6
31240640,99.83
31240650,95.57
31240670,90.77
31240690,96.88
31240700,90.75
31240710,94.2
31250110,39.4
31250120,53.33
31250140,37.97
31250340,11.8
31250350,0.0
31250360,0.0
31250380,0.0
31250540,55.64
31250550,44.44
31250560,60.15
31250570,34.21
31250580,26.66
31250590,93.38
31260110,64.26
31260310,7.89
31260320,15.52
31260330,40.24
31260340,47.48
31260510,31.48
31260520,93.77
31260530,62.98
31260540,79.95
31260550,93.03
31260560,95.99
31270110,67.35
31270310,53.25
31270320,2.16
31270330,1.42
31270340,37.44
31270350,2.55
31270360,3.16
31270370,15.21
31270380,21.09
31270390,21.97
31270400,1.77
31270410,19.14
31270510,49.76
31270520,8.3
31280110,39.28
31280310,0.0
31280330,0.0
31280340,0.0
31280350,0.0
31280360,2.38
31280370,0.0
31280380,0.0
