dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
23080510,검암경서동,0,14995076.185170509,1.7294636991879615,0.677932746053389,2.161549932151198,0,9826,35429,8859,20557,4855,58.11,5,0
23080530,연희동,0,9447146.793453284,2.2962039624439803,0.9417996889971012,2.204983937724892,0,4365,23056,10387,19078,3946,43.0,0,0
23080540,가정1동,0,2434775.880984493,3.871848649028108,0.6815339428011427,6.523588450811947,0,8565,25205,7456,8056,2774,82.55,0,0
23080550,가정2동,0,1282108.1081720043,0.3982161289894491,0.3409715085874917,3.879721450860443,0,3140,11099,2671,944,372,99.91,2,0
23080560,가정3동,0,588929.4525350941,1.1721810670045592,2.2828568420738904,11.365255231719129,0,894,5363,2565,777,304,30.75,1,0
23080580,석남1동,0,1146365.032019579,9.326131723495944,1.8205021631570832,14.17206422711594,0,2169,11980,6544,5201,2015,44.9,3,0
23080590,석남2동,0,2721862.5582637764,7.921830020944204,0.92562835719419,4.550980697007253,0,1238,6677,4154,14365,3433,44.04,3,0
23080600,석남3동,0,1449821.494738116,1.4996722905663218,2.370333854438611,7.87766287317652,0,1321,7336,3985,1596,644,33.91,4,0
23080620,가좌1동,0,4342249.085896852,8.190681307160013,0.3299593654121487,2.370527572966081,0,1310,7608,3649,25358,4349,23.98,2,0
23080630,가좌2동,0,723919.4464038014,3.512009710502257,3.925313258333539,8.455768689585916,0,2603,10617,5325,2778,1055,88.25,2,0
23080640,가좌3동,0,1940273.52476485,5.928569176793902,1.4231459857774555,5.898869490110061,0,1534,8690,5353,13756,2194,53.42,4,0
23080650,가좌4동,0,1898898.0198047769,4.69976978289807,1.6593217651560273,3.532466510951799,0,1547,6833,3473,6817,1212,79.47,1,0
23080730,신현원창동,0,10077340.6571345,6.283770916802621,0.9415164070636324,1.5709132996162274,0,4814,17224,7700,19682,3809,65.54,2,0
23080740,청라1동,0,2468432.7649937603,6.2319176249474815,1.5589619416154372,3.0362705712570204,0,7372,19431,3505,13310,3836,96.7,0,0
23080780,청라2동,0,4919153.608087285,3.420732366058523,0.8215822516632195,2.83925897751992,0,11924,29224,6390,8636,3277,96.74,0,0
23080790,청라3동,0,13193758.12190356,1.5260057422976168,1.1635805339688536,1.4131118928003488,0,9088,22384,3916,9978,2255,83.05,1,0
23080800,검단동,0,8023444.208917703,2.3794992151056755,0.6578789365817959,2.950542591353853,0,5288,20169,6976,8992,2886,74.61,2,0
23080810,불로대곡동,0,10778818.16820961,1.0839253173583057,0.2486604726474496,1.043312417239309,0,4077,13987,5149,4268,1578,89.08,0,0
23080840,오류왕길동,0,30001742.756051823,2.5759962890431205,1.197905429435128,0.5173816626256773,0,4291,14342,5632,33111,5699,81.69,5,0
23080850,당하동,0,2337751.830600193,3.026864852884988,1.1483529874314522,5.6326358516359445,0,5283,18037,5361,5570,1499,76.91,3,0
23080860,마전동,0,1212445.5446917498,4.389950237517867,2.021855048515038,7.535659489244429,0,4307,13213,4140,4629,1545,85.19,2,0
23080870,원당동,0,2617157.2762236046,1.9110778781572089,1.2532387502039342,5.403155618941293,0,4683,14214,3859,4904,1744,80.34,0,0
23080880,아라동,0,3959671.7114068153,1.7633786620463965,0.8321284750728235,3.8711659110068304,0,18118,41419,6015,6574,2295,99.95,1,0
23090520,숭의2동,0,531473.4413861771,13.100945350714454,2.306354501020087,23.91874821351213,0,1746,7804,4250,6864,1747,30.57,1,0
23090540,숭의4동,0,792683.9645430506,4.792341054412573,2.901438193080928,22.727117224666127,0,1977,8363,4695,2025,870,17.61,1,0
23090560,용현2동,0,665065.2343473,5.934871973644295,1.375048132028562,11.77982755513183,0,2971,11472,5061,3339,1311,85.07,2,0
23090570,용현3동,0,431558.8466091296,12.072822176743715,1.7289022135699863,27.65983339912177,0,523,3744,2886,2080,852,7.98,1,0
23090590,용현5동,0,1957900.9924714027,7.034739842921317,2.166511680230466,9.203252683831074,0,7909,27283,10706,8584,3075,78.64,2,0
23090600,학익1동,0,5110100.169570089,3.82426348687878,2.0706504473652174,3.382920689618159,0,4908,16793,7694,8761,2116,86.67,1,0
23090610,학익2동,0,836011.7468903657,7.299450566680794,3.5593054661207533,11.961760210545036,0,2271,9835,5714,7511,1642,74.35,0,0
23090620,도화1동,0,1003167.2694083796,8.885447253608644,2.1560689619390327,19.64456702692753,0,2699,12361,6051,4951,1640,45.75,5,0
23090650,주안1동,0,647514.0515765405,23.169721993604742,2.3523502181467943,16.489918515569947,0,1855,13944,4057,11401,2970,61.69,4,0
23090660,주안2동,0,1008387.524117816,5.831440338226258,2.935213333858349,23.00779635441738,0,2795,12547,6527,3324,1288,38.5,1,0
23090670,주안3동,0,459175.30140411615,6.881948217298016,2.986735561762979,20.946116075762365,0,1650,7124,3457,2391,625,45.92,0,0
23090680,주안4동,0,980424.8298038936,9.974840178951888,2.0783963104030336,22.84192387006112,0,2291,9879,5532,5832,1525,50.93,2,0
23090690,주안5동,0,1163641.8821710022,7.842862477920197,3.2449546205108564,12.15538922490422,0,2062,11800,5957,10355,2186,54.71,5,0
23090700,주안6동,0,658445.183844534,16.671159429915757,3.075933747068012,15.532207994683066,0,3150,12261,5619,8499,2192,63.6,4,0
23090710,주안7동,0,483672.2261900338,13.25844615070496,2.856505287008103,21.753006178461685,0,1135,6024,4449,2939,1275,42.82,0,0
23090720,주안8동,0,776416.6453795775,7.824369356111872,3.048372872914117,17.36187726675736,0,2432,10917,6123,4815,1315,60.52,0,0
23090730,관교동,0,899128.9866761123,7.288592875354382,4.165305466557736,8.06256076727985,0,1867,7785,4670,5471,1443,82.04,2,0
23090740,문학동,0,1712652.002670394,2.639006537499178,1.2962069267955152,7.39371060719258,0,1740,9054,3274,3239,1008,5.85,2,0
23090750,숭의1·3동,0,716628.8402033298,13.373042505213007,0.9179131112357494,15.676129249756832,0,2130,9689,3914,7742,3196,70.04,3,0
23090760,용현1·4동,0,1258625.0061182696,6.847209393601446,5.312568640832665,20.85793688509752,0,1380,10307,5566,7329,1681,8.55,1,0
23090770,도화2·3동,0,2873388.406609047,6.496450527942353,3.393312233904279,7.498406783906315,0,5204,18277,7835,17181,3298,60.41,2,0
23310110,강화읍,0,25001807.38348573,0.0,0.0,0.0,0,3342,10644,8313,10028,2922,12.89,0,0
23310310,선원면,0,21402707.9287831,0.0,0.0,0.0,0,1070,3586,3275,2441,824,41.53,0,0
23310320,불은면,0,31610837.52908328,0.0292541365705853,0.0065271960149446,0.0565469628077831,0,371,1768,2928,2398,545,0.0,0,0
23310330,길상면,0,35365733.26261098,0.8451420381158129,0.4298868134991374,1.016683768277865,0,656,2937,3639,3052,1248,2.45,0,0
23310340,화도면,0,42404012.36930039,0.7307464454644421,0.356929265533875,0.7381563082418019,0,320,1614,2618,1699,826,0.0,0,0
23310350,양도면,0,35616561.03078054,0.0569179720148263,0.092710776259704,0.1013302559014881,0,320,1453,2442,1064,389,0.0,0,0
23310360,내가면,0,29864424.76334425,0.0,0.0,0.0,0,184,995,1850,956,407,0.0,0,0
23310370,하점면,0,36369521.83549997,0.0,0.0,0.0,0,237,1310,2462,915,342,0.73,0,0
23310380,양사면,0,27285312.176475137,0.0,0.0,0.0,0,141,583,1189,426,171,0.0,0,0
23310390,송해면,0,22294620.57216245,0.0,0.0,0.0,0,267,1141,1844,697,267,0.0,0,0
23310400,교동면,0,47026965.10923379,0.0,0.0,0.0,0,141,869,1745,697,292,0.0,0,0
23310410,삼산면,0,45594610.00837289,0.0,0.0,0.0,0,111,677,1312,840,406,0.0,0,0
23310420,서도면,0,13133662.466184698,0.0,0.0,0.0,0,24,112,242,118,47,0.0,0,0
23320310,북도면,0,19219096.668513216,0.4492591488798695,0.4161833000158341,0.5622687206468321,0,71,412,679,625,276,0.0,0,0
23320320,연평면,0,7290845.820422568,0.0,0.0,0.0,0,177,1279,629,475,176,20.18,0,0
23320330,백령면,0,51352952.29440467,0.0,0.0,0.0,0,516,2706,1653,1396,517,10.06,0,0
23320340,대청면,0,15839095.692613175,0.0,0.0,0.0,0,85,589,527,407,141,0.0,0,0
23320350,덕적면,0,41503866.91762053,0.1517664036245346,0.1827415620387336,0.2406141417897914,0,134,659,1147,553,191,0.0,0,0
23320360,자월면,0,20182449.54706636,0.3684314546164235,0.096479054516425,0.3165209391998101,0,30,358,590,387,211,0.0,0,0
23320370,영흥면,0,29845537.197176337,0.9572840909415508,0.6745635167492249,0.9051473996625816,0,631,3087,2858,3805,1101,3.03,0,0
31011540,파장동,0,8638370.87660329,1.9415024142216044,0.8426509771773024,2.21447286658335,0,3303,14757,6798,12695,2275,55.54,0,0
31011550,율천동,0,2996941.749676557,2.945141039602194,3.8062948764704174,7.49823710431863,0,5788,27153,7451,11720,2832,69.38,1,0
31011560,정자1동,0,1147008.1895737827,4.236912328764117,1.6020059810625609,7.640074270708157,0,4825,16609,6127,4087,1372,93.35,0,0
31011570,정자2동,0,1215190.39647067,8.034163519096102,3.207329470179443,15.557769835560556,0,6874,23020,7831,9611,2525,75.1,1,0
31011580,영화동,0,1281458.5679208382,12.236386501175788,3.489834790923452,17.893252911247714,0,1615,10376,6633,8050,2651,14.3,0,0
31011590,송죽동,0,1675128.4984900448,5.691111385758325,2.4980418386342707,8.711601353225289,0,2389,11137,4980,8761,2562,41.03,0,0
31011600,조원1동,0,1634290.3934578649,5.748231819125402,2.228496696470498,13.28613493929537,0,3776,16862,7944,5877,1913,49.53,0,0
31011610,연무동,0,11566580.688624931,0.8232197860020453,0.3553885636320363,1.8019641889534983,0,1662,9933,5654,6925,1389,36.19,0,0
31011620,정자3동,0,1907339.2233128096,4.354312709689975,4.579326652562997,6.090543748944839,0,8369,25119,6153,10069,2454,97.79,1,0
31011630,조원2동,0,1255613.1540954723,3.840714967548839,3.1035301815906213,3.585815907454547,0,2781,10230,4700,3613,894,99.56,0,0
31012520,세류1동,0,786327.9041242163,3.800938690774451,2.1463084857828005,9.478706087926412,1,1238,5973,2475,1990,642,69.11,3,5
31012530,세류2동,0,4152129.6459888727,3.044671827329722,0.5102436490741438,6.315645313870383,0,2285,14187,6424,5728,1998,18.77,1,0
31012540,세류3동,0,876174.141686351,8.22598107880736,2.448988301268911,21.669922642299262,0,1902,10549,5351,5303,1987,26.46,1,0
31012550,평동,0,10857218.625844011,4.655922895412161,0.6568467409317917,2.422393191442214,1,6131,24853,9978,40776,5560,78.73,4,5
31012560,서둔동,0,5441480.286954768,5.37600888600078,1.685880388778605,6.385386950936238,1,4594,23322,9698,12768,3656,32.97,3,5
31012570,구운동,0,1941000.114314264,7.990615800770401,1.3824296260557103,7.213047040827564,0,2708,14048,6394,6290,1978,63.79,0,0
31012600,권선1동,0,1219242.0335503058,18.9131200275999,2.300444983574756,12.245783281397804,0,2290,16749,5138,14568,3339,49.29,3,0
31012610,곡선동,0,3596028.8383278945,3.8194704121850354,1.0329397842679051,4.9108005187481805,0,4967,24871,5211,9459,3028,86.72,1,0
31012620,입북동,0,6947168.782964286,1.1758998304266892,0.3490508491435522,0.9713828038757476,0,3441,12470,3737,2641,1102,93.24,0,0
31012640,권선2동,0,2457543.2492936,4.656166417483129,1.872560255817296,7.830036632670106,0,9276,28768,8461,7667,2292,97.45,2,0
31012650,금곡동,0,4095864.759618282,2.8469519228860025,1.5745390490965054,3.2518558841375493,0,8585,26795,8647,9852,3107,96.39,0,0
31012660,호매실동,0,4748119.36203412,2.277553272994792,1.149592160811923,2.9781895568658494,0,10417,26791,7443,8028,2921,92.66,0,0
31013530,지동,0,792689.9859670645,9.962529938259063,2.4021236358787506,25.74715209209145,0,800,5217,3824,5181,1014,13.76,0,0
31013540,우만1동,0,1304417.9340975764,6.6755948458809335,2.6397733000576538,12.27508024533438,0,1662,11456,5620,5754,1746,43.79,0,0
