dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
31042540,부흥동,0,0,483614.3817169659,0.8743887402579362,12.64130019933438,52.324207791669586,483614.3817169659,0.8743887402579362,12.64130019933438,52.324207791669586,0,0,3146,9469,3902,5364,1354,100.0,100.0,0,1,1,3146,9469,3902,5364,1354,0
31042550,달안동,0,0,433768.1124514287,5.117090044853766,18.40965467671279,38.24318179187916,433768.1124514287,5.117090044853766,18.40965467671279,38.24318179187916,0,0,1023,6440,2489,5628,1062,100.0,100.0,0,1,1,1023,6440,2489,5628,1062,0
31042560,관양1동,0,0,3239770.219645963,1.7500921178357818,0.0346412669390158,18.489185493187954,3239770.219645963,1.7500921178357818,0.0346412669390158,18.489185493187954,0,0,3800,19767,10249,10085,3095,47.99,47.99,0,0,0,3800,19767,10249,10085,3095,0
31042570,관양2동,0,0,1660688.246877218,4.28423196128444,1.0503972544395797,19.264358197098208,1660688.246877218,4.28423196128444,1.0503972544395797,19.264358197098208,0,0,2295,11479,4601,57742,8060,61.69,61.69,0,0,0,2295,11479,4601,57742,8060,0
31042580,부림동,0,0,947724.6008426484,4.736686317954498,18.501667883696,29.164159008244095,947724.6008426484,4.736686317954498,18.501667883696,29.164159008244095,0,0,3842,17213,4792,16927,3615,100.0,100.0,0,2,2,3842,17213,4792,16927,3615,0
31042590,평촌동,0,0,533385.5993308165,0.0,0.8617872753780398,49.11869265819273,533385.5993308165,0.0,0.8617872753780398,49.11869265819273,0,0,2562,8541,2944,11654,1833,95.29,95.29,0,0,0,2562,8541,2944,11654,1833,0
31042600,평안동,0,0,831387.37361086,0.0,17.81691453367388,41.60465307498064,831387.37361086,0.0,17.81691453367388,41.60465307498064,0,0,5568,13808,3569,4418,831,100.0,100.0,0,2,2,5568,13808,3569,4418,831,0
31042610,귀인동,0,0,715438.9764813253,13.592061440132172,1.5349777844106347,47.53292198623508,715438.9764813253,13.592061440132172,1.5349777844106347,47.53292198623508,0,0,4485,9244,2499,5106,1600,94.63,94.63,0,0,0,4485,9244,2499,5106,1600,0
31042620,호계1동,0,0,1006107.8580257448,0.0,0.0,40.62699935214347,1006107.8580257448,0.0,0.0,40.62699935214347,0,0,4812,13347,3091,22980,5301,96.84,96.84,0,2,2,4812,13347,3091,22980,5301,0
31042630,호계2동,0,0,1661540.893575183,6.564419817878413,0.2741731405838403,21.846052870793923,1661540.893575183,6.564419817878413,0.2741731405838403,21.846052870793923,0,0,2590,11432,4825,9983,2051,88.87,88.87,0,4,4,2590,11432,4825,9983,2051,0
