dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11080580,돈암1동,1,488925.35,14.43,2.29,3.33,0,2419.0,9417.0,3982.0,2012.0,282.0,0,0,91.94,0.004115147639529937,0.0005767751661766613,2.045302007718657e-06,79.95
11080590,돈암2동,4,518117.17,17.43,1.61,3.46,0,5225.0,14889.0,4814.0,2376.0,320.0,0,0,94.67,0.004585835285007331,0.0006176209138057011,7.720261422571264e-06,77.5
11080600,안암동,9,1378526.39,15.61,6.49,9.52,0,1463.0,10947.0,2996.0,13244.0,1330.0,0,0,27.73,0.009607360509002608,0.0009647983597835599,6.528710705302285e-06,68.38
11080610,보문동,10,552588.39,32.72,9.65,3.93,0,2092.0,10753.0,3436.0,5199.0,1032.0,0,0,51.48,0.009408449569318522,0.0018675745250118707,1.8096652374146035e-05,53.7
11080620,정릉1동,3,411654.23,32.16,5.35,1.97,0,3421.0,11365.0,4155.0,1833.0,614.0,0,0,77.18,0.0044527660992466234,0.0014915430359724096,7.287669556868451e-06,60.52
11080630,정릉2동,2,1094064.49,26.51,3.41,2.54,0,3617.0,13875.0,6057.0,2722.0,665.0,0,0,39.29,0.0024879703389103875,0.0006078252297484966,1.8280458037548768e-06,67.53999999999999
11080640,정릉3동,1,3324627.61,9.53,1.23,2.75,0,1804.0,9449.0,4382.0,4611.0,564.0,0,0,14.39,0.0013869222484096892,0.00016964305966234324,3.007855667772043e-07,86.49
11080650,정릉4동,2,3568232.31,6.79,1.07,1.4,0,4235.0,15549.0,6607.0,3910.0,708.0,0,0,57.81,0.0010957806724162088,0.0001984175744426281,5.605016227192884e-07,90.74
11080660,길음1동,2,796710.28,15.83,3.95,5.01,0,9206.0,21510.0,6165.0,3751.0,843.0,0,0,96.13,0.004708110456354246,0.0010581010703030202,2.510322823969206e-06,75.21000000000001
11080680,길음2동,2,587556.54,21.58,12.78,1.26,0,2784.0,10162.0,3540.0,4743.0,921.0,0,0,85.93,0.008072414613782148,0.0015675087200702844,3.4039277308800966e-06,64.38
11080840,종암동,3,1403462.33,21.32,8.69,3.34,0,6795.0,24326.0,9069.0,8428.0,1776.0,0,0,65.28,0.006005148709577369,0.001265441873304391,2.137570731933093e-06,66.65
11080710,월곡1동,2,801148.51,19.63,9.62,4.32,0,5014.0,15870.0,6441.0,5131.0,1087.0,0,0,74.26,0.006404555380045523,0.0013568021239737835,2.496416051469703e-06,66.43
11080720,월곡2동,3,1363862.64,14.2,6.06,5.48,0,2761.0,12319.0,4867.0,8819.0,1422.0,0,0,58.2,0.006466193692302722,0.0010426269906400353,2.1996350013502853e-06,74.26
11080760,장위1동,0,708007.19,49.44,9.21,2.67,0,2705.0,12415.0,5268.0,2068.0,716.0,0,0,1.58,0.0029208742922099303,0.001011289165001117,0.0,38.68
