dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1119073,영등포본동,서울특별시,영등포구,2251,12350,6191,4961,1571,2023,2023
1119074,영등포동,서울특별시,영등포구,1911,23525,5121,45833,14591,2023,2023
1119075,도림동,서울특별시,영등포구,1606,11125,4848,3140,1422,2023,2023
1119076,문래동,서울특별시,영등포구,5831,19534,6749,50398,7117,2023,2023
1120052,노량진2동,서울특별시,동작구,556,6460,3170,6801,1843,2023,2023
1120053,상도1동,서울특별시,동작구,5209,28371,10614,9253,2518,2023,2023
1120054,상도2동,서울특별시,동작구,4169,16985,6339,5159,1649,2023,2023
1120055,상도3동,서울특별시,동작구,2285,14928,6717,3441,1368,2023,2023
1120056,상도4동,서울특별시,동작구,2929,16992,7767,3282,1362,2023,2023
1120063,사당1동,서울특별시,동작구,1391,15547,5581,10847,2455,2023,2023
1120065,사당3동,서울특별시,동작구,3300,13717,6678,4734,1304,2023,2023
1120066,사당4동,서울특별시,동작구,1228,8616,3980,1880,871,2023,2023
1120067,사당5동,서울특별시,동작구,1743,8829,3577,1930,797,2023,2023
1120068,대방동,서울특별시,동작구,5174,22343,8121,12000,2222,2023,2023
1120069,신대방1동,서울특별시,동작구,3512,13914,5871,4189,1347,2023,2023
1120070,신대방2동,서울특별시,동작구,3211,13934,4878,17213,1749,2023,2023
1120071,흑석동,서울특별시,동작구,4509,18182,7270,10586,1696,2023,2023
1120072,노량진1동,서울특별시,동작구,3389,20147,8486,7175,2169,2023,2023
1120073,사당2동,서울특별시,동작구,3460,16558,8132,6229,2118,2023,2023
1121052,보라매동,서울특별시,관악구,2229,15014,6585,7212,1827,2023,2023
1121054,청림동,서울특별시,관악구,2129,8570,4025,1493,695,2023,2023
1121057,행운동,서울특별시,관악구,2080,20486,6299,6632,1960,2023,2023
1121058,낙성대동,서울특별시,관악구,1294,13159,2825,8617,1832,2023,2023
1121061,중앙동,서울특별시,관악구,859,10978,3344,5124,1576,2023,2023
1121062,인헌동,서울특별시,관악구,2134,17464,5856,4469,1449,2023,2023
1121063,남현동,서울특별시,관악구,1420,11976,4291,6669,1453,2023,2023
1121064,서원동,서울특별시,관악구,1249,16816,4859,8251,1794,2023,2023
1121065,신원동,서울특별시,관악구,1079,11945,4544,2624,1110,2023,2023
1121066,서림동,서울특별시,관악구,1538,16476,5335,2893,1233,2023,2023
1121068,신사동,서울특별시,관악구,1440,15640,5205,4368,1787,2023,2023
1121069,신림동,서울특별시,관악구,685,19377,2778,5851,2181,2023,2023
1121071,난향동,서울특별시,관악구,2213,8387,4130,1917,617,2023,2023
1121072,조원동,서울특별시,관악구,1502,13678,4463,6434,2053,2023,2023
1121073,대학동,서울특별시,관악구,1463,18122,4696,16255,2076,2023,2023
1121078,은천동,서울특별시,관악구,4078,19660,8657,7517,2181,2023,2023
1121079,성현동,서울특별시,관악구,4165,16281,7821,2976,1180,2023,2023
1121080,청룡동,서울특별시,관악구,2502,26674,6607,12886,2594,2023,2023
1121081,난곡동,서울특별시,관악구,2434,14759,8141,2790,1181,2023,2023
1121082,삼성동,서울특별시,관악구,1728,10478,7776,2516,1014,2023,2023
1121083,미성동,서울특별시,관악구,3338,17390,8830,5347,1848,2023,2023
1122051,서초1동,서울특별시,서초구,2982,12668,4515,38516,5279,2023,2023
1122052,서초2동,서울특별시,서초구,4295,15981,4404,76349,8269,2023,2023
1122053,서초3동,서울특별시,서초구,4237,20577,7202,93255,11147,2023,2023
