시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
인천,연수구,송도4동,23040680,6552,7507,87.28
인천,연수구,송도5동,23040690,4240,4240,100.0
인천,남동구,구월1동,23050510,6880,11121,61.86
인천,남동구,구월2동,23050521,9561,11506,83.1
인천,남동구,구월3동,23050530,2587,11027,23.46
인천,남동구,구월4동,23050540,502,5980,8.39
인천,남동구,간석1동,23050550,3676,8809,41.73
인천,남동구,간석2동,23050561,5095,7649,66.61
인천,남동구,간석3동,23050570,3745,10937,34.24
인천,남동구,간석4동,23050580,5696,10726,53.1
인천,남동구,만수1동,23050590,4124,7194,57.33
인천,남동구,만수2동,23050600,6663,8804,75.68
인천,남동구,만수3동,23050610,2876,6337,45.38
인천,남동구,만수4동,23050620,7183,7909,90.82
인천,남동구,만수5동,23050630,1428,5971,23.92
인천,남동구,만수6동,23050640,7771,8992,86.42
인천,남동구,남촌도림동,23050670,3743,7914,47.3
인천,남동구,논현1동,23050720,9382,10555,88.89
인천,남동구,논현2동,23050730,10301,12816,80.38
인천,남동구,논현고잔동,23050740,11933,14768,80.8
인천,남동구,장수서창동,23050750,4149,6697,61.95
인천,남동구,서창2동,23050760,13788,14017,98.37
인천,부평구,부평1동,23060510,9116,15042,60.6
인천,부평구,부평2동,23060520,368,6808,5.41
인천,부평구,부평3동,23060530,841,4951,16.99
인천,부평구,부평4동,23060540,4401,14197,31.0
인천,부평구,부평5동,23060550,3643,13860,26.28
인천,부평구,부평6동,23060560,1690,5846,28.91
인천,부평구,산곡1동,23060570,2777,4793,57.94
인천,부평구,산곡2동,23060580,9312,10256,90.8
인천,부평구,산곡3동,23060590,5490,7456,73.63
인천,부평구,산곡4동,23060600,5910,6288,93.99
인천,부평구,청천1동,23060610,394,2849,13.83
인천,부평구,청천2동,23060620,8338,12334,67.6
인천,부평구,갈산1동,23060630,2194,6139,35.74
인천,부평구,갈산2동,23060640,6581,6873,95.75
인천,부평구,삼산1동,23060650,11009,13167,83.61
인천,부평구,부개1동,23060660,1849,5855,31.58
인천,부평구,부개2동,23060670,3499,6064,57.7
인천,부평구,부개3동,23060680,10445,11425,91.42
인천,부평구,일신동,23060690,2666,4433,60.14
인천,부평구,십정1동,23060700,1948,4417,44.1
인천,부평구,십정2동,23060710,2348,8041,29.2
인천,부평구,삼산2동,23060720,9136,9591,95.26
인천,계양구,효성1동,23070510,5856,9241,63.37
인천,계양구,효성2동,23070520,6958,10674,65.19
인천,계양구,계산1동,23070530,2286,6790,33.67
인천,계양구,계산2동,23070540,2187,5181,42.21
인천,계양구,계산3동,23070550,6979,7766,89.87
인천,계양구,작전1동,23070560,7888,10088,78.19
인천,계양구,작전2동,23070570,3699,7279,50.82
인천,계양구,작전서운동,23070580,8211,10818,75.9
인천,계양구,계양2동,23070610,6504,12771,50.93
인천,계양구,계산4동,23070620,6335,7877,80.42
인천,계양구,계양1동,23070630,4047,7580,53.39
인천,계양구,계양3동,23070640,4549,9141,49.76
인천,서구,검암경서동,23080510,6292,15465,40.69
인천,서구,연희동,23080531,6147,14723,41.75
인천,서구,가정1동,23080541,6401,8959,71.45
인천,서구,가정2동,23080550,2684,2690,99.78
인천,서구,가정3동,23080560,1193,3861,30.9
인천,서구,석남1동,23080580,3402,8177,41.6
인천,서구,석남2동,23080590,1947,4638,41.98
인천,서구,석남3동,23080600,2162,5869,36.84
