철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
용마산역,지하철,7호선,"[11050570, 11050580, 11070540, 11070570]","[11050570, 11050580, 11060870, 11060880, 11070540, 11070550, 11070570, 11070720]",ST000287
용문역,일반철도,ITX-마음,[31580400],[31580400],ST000629
용문역,일반철도,ITX-새마을,[31580400],[31580400],ST000629
용문역,일반철도,무궁화,[31580400],[31580400],ST000629
용문역,지하철,경의중앙선,[31580400],[31580400],ST000629
용산역,고속철도,KTX,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,고속철도,KTX-산천,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,고속철도,KTX-청룡,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,일반철도,ITX-마음,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,일반철도,ITX-새마을,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,일반철도,무궁화,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,일반철도,새마을,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,지하철,1호선,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용산역,지하철,경의중앙선,"[11030570, 11030720, 11030730]","[11030570, 11030580, 11030590, 11030630, 11030640, 11030720, 11030730]",ST000660
용유역,지하철,자기부상,[23010630],[23010630],ST000753
용유역,지하철,자기부상철도,[23010630],[23010630],ST000753
용인중앙시장역,지하철,에버라인,"[31191510, 31191530, 31191540]","[31191510, 31191530, 31191540, 31191550]",ST000734
우장산역,지하철,5호선,"[11160580, 11160670, 11160740]","[11150610, 11160550, 11160580, 11160610, 11160670, 11160730, 11160740]",ST000204
운길산역,지하철,경의중앙선,[31130350],"[31130350, 31580330]",ST000637
운동장.송담대역,지하철,에버라인,"[31191510, 31191530, 31191540]","[31191510, 31191530, 31191540, 31191550]",ST000390
운서역,지하철,공항철도,[23010640],[23010640],ST000330
운양역,지하철,김포골드라인,[31230600],"[31230560, 31230600, 31230620]",ST000354
운연역,지하철,인천2호선,[23050750],"[23050640, 23050750, 23050760, 31150520]",ST000093
운정역,광역급행철도,GTXA,"[31200513, 31200515, 31200516, 31200570]","[31200511, 31200513, 31200515, 31200516, 31200570]",GTX_운정_GTXA
운정역,지하철,경의중앙선,"[31200512, 31200514]","[31200512, 31200514]",ST000613
운정중앙역,광역급행철도,GTXA,"[31200513, 31200515, 31200516, 31200570]","[31200511, 31200513, 31200515, 31200516, 31200570]",GTX_운정중앙_GTXA
운천역,지하철,경의중앙선,[31200110],[31200110],ST000606
워터파크역,지하철,자기부상,[23010630],"[23010630, 23010640]",ST000752
워터파크역,지하철,자기부상철도,[23010630],"[23010630, 23010640]",ST000752
원곡역,지하철,서해선,"[31092660, 31092780]","[31092660, 31092780]",ST000360
원당역,지하철,3호선,"[31101540, 31101550, 31101620]","[31101510, 31101511, 31101520, 31101540, 31101550, 31101620]",ST000452
원당역,지하철,일산선,"[31101540, 31101550, 31101620]","[31101510, 31101511, 31101520, 31101540, 31101550, 31101620]",ST000452
원덕역,지하철,경의중앙선,"[31580110, 31580410]","[31580110, 31580400, 31580410]",ST000630
원시역,지하철,서해선,[31092660],[31092660],ST000359
원인재역,지하철,수인분당선,"[23040540, 23040550, 23050730, 23050740]","[23040520, 23040530, 23040540, 23040550, 23040560, 23040590, 23050670, 23050730, 23050740]",ST000432
원인재역,지하철,인천1호선,"[23040540, 23040550, 23050730, 23050740]","[23040520, 23040530, 23040540, 23040550, 23040560, 23040590, 23050670, 23050730, 23050740]",ST000432
원종역,지하철,서해선,"[31053511, 31053541, 31053551]","[31051601, 31053511, 31053521, 31053531, 31053541, 31053551, 31053561]",ST000445
원흥역,지하철,일산선,"[31101511, 31101513]","[31101511, 31101512, 31101513, 31101520, 31101580]",ST000454
월계역,지하철,1호선,"[11110510, 11110520, 11110530, 11110590, 11110770, 11110780]","[11100620, 11110510, 11110520, 11110530, 11110580, 11110590, 11110770, 11110780, 11110790]",ST000651
월곡역,지하철,6호선,"[11080710, 11080720, 11080840]","[11060710, 11060800, 11060890, 11080680, 11080710, 11080720, 11080770, 11080840, 11080850]",ST000266
월곶역,지하철,수인분당선,[31150690],"[23050720, 23050740, 31150690, 31150740]",ST000482
월드컵경기장역,지하철,6호선,"[11140730, 11140740]","[11120670, 11120680, 11130690, 11130710, 11140700, 11140720, 11140730, 11140740]",ST000252
월롱역,지하철,경의중앙선,[31200310],"[31200120, 31200310]",ST000610
을지로3가역,지하철,2호선,"[11010610, 11020550, 11020570, 11020590, 11020600]","[11010610, 11010630, 11020520, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000104
을지로3가역,지하철,3호선,"[11010610, 11020550, 11020570, 11020590, 11020600]","[11010610, 11010630, 11020520, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000104
을지로4가역,지하철,2호선,"[11010610, 11010630, 11020570, 11020580, 11020590, 11020600]","[11010610, 11010630, 11010640, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000105
을지로4가역,지하철,5호선,"[11010610, 11010630, 11020570, 11020580, 11020590, 11020600]","[11010610, 11010630, 11010640, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000105
을지로입구역,지하철,2호선,"[11010610, 11020520, 11020540, 11020550]","[11010530, 11010610, 11020520, 11020540, 11020550, 11020570, 11020600]",ST000103
응봉역,지하철,경의중앙선,"[11040550, 11040560, 11040570, 11040580, 11040590, 11040620, 11040650, 11040660]","[11040550, 11040560, 11040570, 11040580, 11040590, 11040620, 11040650, 11040660, 11040720, 11040730]",ST000656
응암역,지하철,6호선,"[11120590, 11120600, 11120650, 11120730, 11120740]","[11120510, 11120570, 11120590, 11120600, 11120650, 11120660, 11120730, 11120740]",ST000245
의왕역,지하철,1호선,"[31160640, 31170520]","[31160640, 31170520]",ST000556
의정부시청역,지하철,의정부,"[31030520, 31030670]","[31030520, 31030650, 31030670, 31030680, 31030690]",ST000381
의정부역,지하철,1호선,"[31030520, 31030670, 31030690]","[31030520, 31030570, 31030580, 31030600, 31030650, 31030670, 31030680, 31030690]",ST000468
의정부중앙역,지하철,의정부,"[31030520, 31030580, 31030600, 31030690]","[31030520, 31030570, 31030580, 31030600, 31030640, 31030670, 31030680, 31030690]",ST000379
이대역,지하철,2호선,"[11130730, 11130740, 11130750, 11140600, 11140610, 11140780]","[11130730, 11130740, 11130750, 11140600, 11140610, 11140660, 11140780]",ST000141
이매역,지하철,경강선,"[31023600, 31023610, 31023630]","[31023580, 31023600, 31023610, 31023630, 31023740, 31023760]",ST000499
이매역,지하철,수인분당선,"[31023600, 31023610, 31023630]","[31023580, 31023600, 31023610, 31023630, 31023740, 31023760]",ST000499
이수역,지하철,7호선,"[11200630, 11200650, 11200730, 11220630, 11220650]","[11200630, 11200650, 11200660, 11200670, 11200730, 11210630, 11220610, 11220620, 11220630, 11220640, 11220650]",ST000443
이천역,지하철,경강선,[31210520],[31210520],ST000568
이촌역,지하철,4호선,"[11030630, 11030690, 11030730]","[11030520, 11030630, 11030690, 11030730]",ST000196
이촌역,지하철,경의중앙선,"[11030630, 11030690, 11030730]","[11030520, 11030630, 11030690, 11030730]",ST000196
이태원역,지하철,6호선,"[11030520, 11030650, 11030660, 11030700, 11030740]","[11030520, 11030650, 11030660, 11030690, 11030700, 11030740]",ST000260
인덕원역,지하철,4호선,"[31042681, 31042691, 31110521]","[31042590, 31042600, 31042681, 31042691, 31110521, 31170550, 31170560]",ST000576
인덕원역,지하철,과천선,"[31042681, 31042691, 31110521]","[31042590, 31042600, 31042681, 31042691, 31110521, 31170550, 31170560]",ST000576
인덕원역,지하철,안산과천선,"[31042681, 31042691, 31110521]","[31042590, 31042600, 31042681, 31042691, 31110521, 31170550, 31170560]",ST000576
인천가좌역,지하철,인천2호선,"[23080620, 23080630, 23080640]","[23080600, 23080620, 23080630, 23080640, 23080650]",ST000081
인천공항1터미널역,지하철,공항철도,[23010640],[23010640],ST000332
인천공항1터미널역,지하철,자기부상,[23010640],"[23010630, 23010640]",ST000413
인천공항2터미널역,지하철,공항철도,[23010640],[23010640],ST000333
인천국제공항역,지하철,자기부상철도,[23010640],"[23010630, 23010640]",ST000758
인천논현역,지하철,수인분당선,"[23050720, 23050730, 23050740]","[23050670, 23050720, 23050730, 23050740]",ST000480
인천대공원역,지하철,인천2호선,"[23050640, 23050750]","[23050590, 23050640, 23050750]",ST000092
인천대입구역,지하철,인천1호선,"[23040640, 23040660, 23040680]","[23040640, 23040660, 23040680]",ST000065
