dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1113066,홍은1동,서울특별시,서대문구,3280,13124,6152,2167,732,2019,2019
1113068,홍은2동,서울특별시,서대문구,3851,16772,6948,5166,971,2019,2019
1113069,남가좌1동,서울특별시,서대문구,3737,9793,3072,2127,614,2019,2019
1113070,남가좌2동,서울특별시,서대문구,3985,15070,5884,5074,1113,2019,2019
1113071,북가좌1동,서울특별시,서대문구,3597,11313,4100,3012,520,2019,2019
1113072,북가좌2동,서울특별시,서대문구,4533,20342,8561,5713,1404,2019,2019
1113073,충현동,서울특별시,서대문구,2037,11042,4570,24158,1728,2019,2019
1113074,북아현동,서울특별시,서대문구,2669,11125,3300,2343,785,2019,2019
1113075,신촌동,서울특별시,서대문구,1820,13916,2967,37600,3855,2019,2019
1113076,연희동,서울특별시,서대문구,4601,24756,8697,10515,2115,2019,2019
1114059,용강동,서울특별시,마포구,4316,13556,4048,18743,2496,2019,2019
1114060,대흥동,서울특별시,마포구,1112,7865,2571,10045,1517,2019,2019
1114061,염리동,서울특별시,마포구,2145,7900,2450,4337,680,2019,2019
1114063,신수동,서울특별시,마포구,3769,14933,4651,5450,1110,2019,2019
1114066,서교동,서울특별시,마포구,2296,17228,4628,57098,9476,2019,2019
1114068,합정동,서울특별시,마포구,2361,12627,3733,11061,2286,2019,2019
1114069,망원1동,서울특별시,마포구,2650,14189,4638,4849,1455,2019,2019
1114070,망원2동,서울특별시,마포구,3037,12005,4140,4331,1174,2019,2019
1114071,연남동,서울특별시,마포구,1591,10870,3388,6835,1839,2019,2019
1114072,성산1동,서울특별시,마포구,2648,13070,4051,11025,1404,2019,2019
1114073,성산2동,서울특별시,마포구,6589,26404,8243,11411,1486,2019,2019
1114074,상암동,서울특별시,마포구,7306,19452,5467,41630,2348,2019,2019
1114075,도화동,서울특별시,마포구,3340,13797,5174,16669,1995,2019,2019
