dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct
11060820,제기동,1,1181724.03,5.87,0.59,68.65,0,1962,13427,7625,11403,4980,40.15,7,3,0.0096494610504819,0.004214181884714537,5.923548833936096e-06,24.89
11060830,전농1동,1,1126713.76,6.52,0.0,67.12,0,4034,19379,8744,7609,2708,55.62,6,3,0.0067532680171869626,0.0024034498344778937,5.325221198990902e-06,26.36
11060840,전농2동,0,977583.58,1.3,0.0,38.29,0,2542,9914,5502,4972,1234,85.04,3,0,0.005086010139357231,0.001262296160894373,3.0687913149782165e-06,60.410000000000004
11060860,답십리2동,0,875759.26,7.86,0.0,66.4,0,3298,15810,8405,8740,2603,84.26,2,0,0.009979911602533555,0.002972278020754559,2.2837326321587086e-06,25.739999999999995
11060870,장안1동,0,1342189.45,12.6,1.52,52.31,0,4601,22705,10080,22014,5980,58.19,2,0,0.016401559407158196,0.004455406798165077,1.4901026080819655e-06,33.56999999999999
11060880,장안2동,0,996656.47,13.38,2.1,60.71,0,5336,19287,8069,11387,3477,61.59,0,0,0.011425200500515237,0.0034886644542277577,0.0,23.810000000000002
11060890,이문1동,0,1039619.54,0.0,0.0,69.44,0,1697,11662,4405,6706,1503,46.15,5,0,0.006450436666413076,0.0014457211914134884,4.8094517345758095e-06,30.560000000000002
11060900,이문2동,0,723901.66,1.5,16.87,43.13,0,2578,11081,5741,2188,916,77.4,2,0,0.003022509991163406,0.0012653652431013163,2.762806207644795e-06,38.5
11060910,답십리1동,1,788254.72,6.54,6.72,64.53,0,4187,17373,6283,9453,3471,81.92,6,3,0.011992316392193728,0.004403398941849618,7.61175270846952e-06,22.209999999999994
11070520,면목2동,1,763134.02,6.9,0.0,60.27,0,2281,14007,7315,5735,2198,35.5,6,0,0.0075150626883661266,0.002880228036447907,7.862314931158981e-06,32.83
11070540,면목4동,0,843480.2,0.0,0.0,40.01,0,1945,10529,5681,5016,2463,52.11,2,0,0.0059467904521535095,0.002920044833264373,2.3711285694391983e-06,59.99
11070550,면목5동,0,704947.41,13.28,0.0,39.79,0,2168,8723,3707,3117,1067,48.79,2,0,0.004421606428706198,0.0015135880845137996,2.837091067504779e-06,46.93
11070570,면목7동,0,1235495.07,1.32,0.0,35.36,0,2096,12443,6686,4536,1767,49.43,2,0,0.003671402751905182,0.001430195913275233,1.618784282145142e-06,63.32
11070590,상봉1동,1,854232.74,6.45,6.31,47.79,0,3235,13510,6449,6508,1750,66.99,7,0,0.007618532626042658,0.0020486220183734867,8.194488073493947e-06,39.45
11070600,상봉2동,1,677456.3,23.37,4.29,44.35,0,1389,14225,4690,9495,3249,39.73,8,0,0.014015664183593603,0.004795881298841034,1.1808879775539635e-05,27.989999999999995
11070610,중화1동,1,641503.96,6.76,0.0,51.54,0,2064,10888,5754,3586,1391,36.93,6,0,0.005589988875429702,0.0021683420317129714,9.35302098510268e-06,41.7
11070620,중화2동,1,1016971.83,13.25,0.55,48.33,0,1853,14167,7833,6025,2237,13.51,7,0,0.005924451220975075,0.0021996676151570527,6.883179841796767e-06,37.870000000000005
11070640,묵1동,0,1238456.26,9.1,0.0,45.24,0,4659,19911,9130,6227,2120,60.58,6,0,0.005028033852362068,0.0017118085381415745,4.844741145683701e-06,45.66
11070650,묵2동,0,669214.47,6.92,0.08,50.32,0,1816,10723,5522,4536,1788,30.57,6,0,0.0067780961160810215,0.002671789209777969,8.965735603281775e-06,42.68
11070680,망우3동,0,962576.96,0.42,0.0,35.84,0,1424,8925,5310,3717,1309,1.55,0,0,0.003861509421502656,0.001359891265199617,0.0,63.739999999999995
11070690,신내1동,0,2606991.46,0.5,3.23,24.43,0,6093,20597,11076,15285,3047,87.59,7,1,0.005863080195875045,0.0011687801999889604,2.68508743023391e-06,71.84
11070700,신내2동,0,911296.04,1.55,1.49,33.64,0,2438,10939,6310,6553,1594,99.85,3,0,0.007190857539475418,0.0017491571673926164,3.292014744151725e-06,63.32
11070710,면목본동,1,849032.56,9.76,0.0,73.14,0,2819,20438,9534,7104,3015,12.3,5,0,0.008367170276622052,0.0035511005608129904,5.889055656406286e-06,17.099999999999994
11070720,면목3·8동,0,1614802.35,2.25,0.64,32.2,0,2142,14415,7835,7438,2413,32.44,2,0,0.004606136472339131,0.0014943005253770262,1.2385416704326782e-06,64.91
11070730,망우본동,0,2948157.11,1.83,0.56,25.49,0,4652,21288,10521,12164,3913,60.39,5,1,0.004125967357268399,0.0013272698346753736,1.6959747440268e-06,72.12
11080580,돈암1동,0,489303.57,0.07,1.68,51.49,0,1739,8136,4390,2164,625,92.68,1,0,0.004422612326241098,0.0012773256487526275,2.043721038004204e-06,46.76
11080590,돈암2동,0,518516.7,0.0,2.14,76.53,0,4249,13659,5518,2852,940,94.46,4,0,0.0055003050045350456,0.0018128635007934582,7.714312769333864e-06,21.33
11080600,안암동,0,1379593.47,0.11,2.46,30.6,0,1093,10841,2981,14041,1839,35.17,9,0,0.010177635879864104,0.0013330013804622241,6.5236609158020755e-06,66.83
11080610,보문동,0,553015.27,6.27,0.0,67.76,0,1935,10426,3809,5597,1587,60.1,10,0,0.010120877855504409,0.002869721843252724,1.80826833223234e-05,25.97
11080620,정릉1동,0,411972.1,0.0,0.22,82.84,0,2847,10338,4592,2333,1084,78.01,3,0,0.005663004848977322,0.00263124614500275,7.282046526760379e-06,16.939999999999998
11080630,정릉2동,0,1094907.52,0.0,0.0,51.37,0,2836,13028,6685,3403,1332,38.21,2,0,0.003108025050342991,0.0012165411011039859,1.8266382899459248e-06,48.63
11080640,정릉3동,0,3327180.65,1.59,0.0,20.26,0,1345,9013,4577,5881,896,13.49,1,0,0.0017675625758349863,0.0002692970698772569,3.0055476548800993e-07,78.15
